dlga_start:member_talk|Да?
dlga_start:close_window.1|Этот человек занят.
dlga_prisoner_chat:lady_prisoner_chat_2|Вы моя пленница. Почему вы поднимаете оружие против меня и что мне с вами делать?
dlga_lady_prisoner_chat_2:do_lady_options|Мой лорд, я была в неволе у {reg63?лорда:леди} и боялась за свою жизнь. Я умоляю вас о пощаде и отдаю свою судьбу в ваши руки.
dlga_member_chat:lady_member_talk|Приветствую, {reg63?милорд:миледи}. Спасибо, что спасли меня!
dlga_lady_member_talk:lady_member_options|Добро пожаловать. И что мне теперь делать с вами?
dlga_lady_member_options:do_lady_options|Моя судьба зависит только от вас.
dlga_do_lady_options:lady_end_talk|Вы могли бы принять мою благодарность за освобождение. Я уверена, {s3} будет признателен.
dlga_do_lady_options:lady_end_talk.1|Вы можете получить выкуп за меня, но {s3} посмотрит на это в невыгодном для вас свете.
dlga_do_lady_options:lady_end_talk.2|Потратьте 200 золотых на экипировку, это позволит мне сражаться на вашей стороне.
dlga_do_lady_options:lady_end_talk.3|Мы поговорим позже.
dlga_lady_end_talk:close_window|Как вы пожелаете.
dlga_start:close_window.2|Не думаю, что его стоит отвлекать.
dlga_start:close_window.3|Этот человек очень занят.
dlga_start:magic_weapon_dialogue_1|Да пребудет с вами сила! Что привело вас в шахты Азиза?
dlga_start:magic_weapon_3a|Да пребудет с вами сила! Добро пожаловать в шахты Азиза.
dlga_magic_weapon_dialogue_1:magic_weapon_2|Я нашел карту, где отмечено это место и поехал сюда, чтобы исследовать его. Кто вы и тот сумасшедший старик, и что здесь делаете?
dlga_magic_weapon_2:magic_weapon_a2|У меня было много имен за эти годы. Хм, я думаю, что вы можете называть меня Хамидарон. Вас устроит это имя? ^^Что я делаю здесь? Я жду клиента, может быть вы - клиент?
dlga_magic_weapon_a2:magic_weapon_a3a|Я вот думаю, ваше ли это имя. Видимо да. Я не знаю, клиент я или нет. Что вы продаете?
dlga_magic_weapon_3a:magic_weapon_a3a|Приветствую вас. Что есть для продажи?
dlga_magic_weapon_a3a:magic_weapon_a3|Я продаю самые удивительные артефакты, когда-либо созданные руками смертных. Но очень немногие могут оценить мои изделия. ^^Если вы не видите то, что я предлагаю, тогда вы пришли не вовремя, возвратитесь позже. ^^^^(требуется Куалис и золотой слиток)
dlga_magic_weapon_a3:close_window|Я хочу этот рунный топор.
dlga_magic_weapon_a3:close_window.1|Я хочу этот рунный двуручный меч.
dlga_magic_weapon_a3:close_window.2|Я хочу этот рунный меч.
dlga_magic_weapon_a3:close_window.3|Я хочу эту рунную глефу.
dlga_magic_weapon_a3:close_window.4|Я хочу этот рунный лук.
dlga_magic_weapon_a3:close_window.5|Спасибо, мне пора идти.
dlga_start:magic_azziz_1|А? Подойди... Не медли... Шевели ногами!.. да, да, да... Я расскажу тебе секрет... ^ ^ Слушай внимательно. ХА! Ты дергаешь птицу-куалиску за хвост довольно хорошо. Торговля - ремесло для смертных. Вернись ко мне позже, и мы поговорим... скорее всего... если принесешь мне вино. Я обожаю вино. ^^^^(не одевайте необходимый предмет, держите его в инвентаре)
dlga_magic_azziz_1:close_window|Секреты, дергание за хвост куалисок и вино?! Сумасшедший старпер! У меня есть дела поважнее... Прощай.
dlga_start:magic_azziz_a1|А? Снова ты? Что тебя держит? Потерялся? *вздох* У тебя есть вино?
dlga_magic_azziz_a1:magic_weapon_a3|Вино? Да, у меня есть вино.
dlga_magic_azziz_a1:close_window|[Солгать] Нет, у меня нет вина.
dlga_magic_weapon_a3:magic_azziz_a3|[РЫГАЕТ!] Ааа-грх! В точку!.. Я ах... да... где мы?.. [ЗЕВОК... спит...]
