str_no_string|NO STRING!
str_empty_string| 
str_yes|Да
str_no|Нет
str_blank_string| 
str_noone|никого
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s52} и {s51}
str_s5_s_party|{s5} с войском
str_given_by_s1_at_s2|Получено от {s1} из {s2}
str_given_by_s1_in_wilderness|Выдал {s1} на поле боя
str_s7_raiders|{s7} Налетчики
str_bandits_eliminated_by_another|Зловредные бандиты были уничтожены другим отрядом.
str_msg_battle_won|Победа! Нажмите tab для выхода...
str_msg_battle_won0|Ваши войска празднуют победу! Нажмите tab, чтобы выйти...
str_msg_battle_won1|Враг сокрушен! Нажмите tab, чтобы выйти...
str_msg_battle_won2|Враг побежден! Нажмите tab, чтобы выйти...
str_msg_battle_won3|Битва выиграна! Нажмите tab, чтобы выйти...
str_msg_battle_won4|Судьба улыбнулась тебе! Последний из врагов пал! Нажмите tab, чтобы выйти...
str_msg_battle_won5|Все враги пали! Нажмите tab, чтобы выйти...
str_msg_battle_won6|Сегодня вы победили! Нажмите tab, чтобы выйти...
str_msg_battle_won7|Больше не осталось врагов, которые бы противостояли вам! Нажмите tab, чтобы выйти...
str_msg_battle_won8|Вы победили! Нажмите tab, чтобы выйти...
str_tutorial_map1|Добро пожаловать в Пророчество Пендора 3.9. Этот мод предназначен для опытных игроков, уже овладевших основами боя. Для тех, кто готов к испытаниям - мы надеемся, вам понравится!  Любые модификации этой или любой другой версии запрещены и все интеллектуальные права находятся под защитой.^ --  Saxondragon и Команда Разработчиков POP. Особая благодарность людям из Gwythdarian (www.gwythdarian.com), которые потратили свои время и силы, чтобы вы получили удовольствие от игры.
str_randomize|Произвольно
str_charge|Атака
str_color|Цвет
str_flip_horizontal|Горизонтально
str_flip_vertical|Вертикально
str_hold_fire|Не стрелять
str_blunt_hold_fire|Дробящее / Не стрелять
str_tutorial_ammo_refilled|Пополнение боезапаса.
str_tutorial_failed|Вас победили. Но не волнуйтесь. Точно выполняйте инструкции, и в следующий раз получится лучше. Нажмите TAB для выхода в меню и повторите это упражнение.
str_finished|(Пройдено)
str_delivered_damage|Урон: {reg60}
str_archery_target_hit|Дистанция: {reg61} ярдов. Очков: {reg60}
str_use_baggage_for_inventory|Используйте походный сундук для доступа к инвентарю во время сражения (он находится на вашей исходной позиции).
str_cant_use_inventory_now|Сейчас нет доступа к инвентарю.
str_cant_use_inventory_arena|На арене нет доступа к инвентарю.
str_cant_use_inventory_disguised|В режиме маскировки нет доступа к инвентарю.
str_cant_use_inventory_tutorial|В учебном лагере нет доступа к инвентарю.
str_1_denar|1 динар
str_reg1_denars|{reg1} динаров
str_january_reg1_reg2|Январь {reg1}, {reg2}
str_february_reg1_reg2|Февраль {reg1}, {reg2}
str_march_reg1_reg2|Март {reg1}, {reg2}
str_april_reg1_reg2|Апрель {reg1}, {reg2}
str_may_reg1_reg2|Май {reg1}, {reg2}
str_june_reg1_reg2|Июнь {reg1}, {reg2}
str_july_reg1_reg2|Июль {reg1}, {reg2}
str_august_reg1_reg2|Август {reg1}, {reg2}
str_september_reg1_reg2|Сентябрь {reg1}, {reg2}
str_october_reg1_reg2|Октябрь {reg1}, {reg2}
str_november_reg1_reg2|Ноябрь {reg1}, {reg2}
str_december_reg1_reg2|Декабрь {reg1}, {reg2}
str_town_nighttime| Сейчас поздняя ночь, и на улицах никого нет.
str_door_locked|Дверь заперта.
str_castle_is_abondened|Замок кажется покинутым.
