qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила Игры:^
qstr_0|0
qstr_Show_game_rules|Показать правила игры
qstr_What_will_be_the_nam|Каким будет название вашего отряда?
qstr_Continue...|Далее...
qstr_What_will_be_the_name|Как вы хотите назвать свой тайный лагерь?
qstr_What_shall_be_the_ne|Каким должно быть новое название крепости ордена?
qstr_What_shall_be_the_ti|Каким будет титул ваших вассалов-мужчин?
qstr_What_shall_be_the_tit|Каким будет титул ваших вассалов-женщин?
qstr_Use_specified_titles|Использовать указанные титулы
qstr_Use_titles_default_f|Использовать титулы в соответствии с выбранной культурой.
qstr_What_shall_be_the_na|Каким должно быть название вашего ордена?
qstr_Order_of_the|Орден
qstr_Knights_of_{s0}|Рыцари {s0}
qstr_What_shall_be_called|Как должны называться рыцари вашего ордена (ед. и мн. число)?
qstr_What_shall_be_called_|Как должны называться сержанты вашего ордена (ед. и мн. число)?
qstr_Candidate_#1:_{s1}|Кандидат #1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} из {s4} желает назначить нового маршала и приглашает своих вассалов на совещание. Вероятные кандидаты: {s1} и {s2}.
qstr_Who_do_you_wish_to_s|Кого вы поддержите?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Число сторонников: {reg0}
qstr_{s2}_has_heard_his_v|{s2} выслушал советы вассалов. Маршалом в {s3} назначается {s1}.
qstr_Action|Действие
qstr_Mount|Верхом
qstr_Attack_Order|Порядок атаки
qstr_Stand_Ground|Стоять на месте
qstr_Charge|Атаковать
qstr_Follow_Me|За мной
qstr_Hold_This_Position|Держать позицию
qstr_Spread_Out|Рассредоточиться
qstr_Stand_Closer|Сомкнуть ряды
qstr_Fall_Back|Отступать
qstr_Advance|Наступать
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Стрелять по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Blunt_Weapons|Применять тупое оружие
qstr_Use_Any_Weapon|Применять любое оружие
qstr_Ready|Всего
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Opponents_knocked_do|Противников оглушено: {reg1}
qstr_Opponents_left:_{reg|Противников убежало: {reg1}
qstr_Opponents_beaten:_{r|Противников убито: {reg1}
qstr_Opponents_remaining:|Противников осталось: {reg1}
qstr_Remain_in_retirement|Осталось в отступлении.
qstr_Go_back_to_the_adven|Вернуться к путешествию.
qstr_You_have_retired_at_|Вы ушли в отставку на уровне {reg4} после {reg5} дней путешествий.
qstr_Effect_on_Score|Результат
qstr_Settlements_owned_by|Ваших поселений: {reg0}
qstr_Friendly_Settlements|Дружеских поселений: {reg0}
qstr_Hostile_Settlements:|Вражеских поселений: {reg0}
qstr_Friendly_Lords:_{reg|Дружеских лордов: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеских лордов: {reg0}
qstr_Victories:_{reg0}|Побед: {reg0}
qstr_Defeats:_{reg0}|Поражений: {reg0}
qstr_Quests_Completed:_{r|Выполнено заданий: {reg0}
qstr_Companions_Found:_{r|Найдено компаньонов: {reg0}
